(1, 1)/(2, 1)-->2
(1, 1)/(3, 1)-->3
(1, 1)/(4, 1)-->4
(1, 1)/(7, 1)-->7
(1, 1)/(8, 1)-->8
(1, 1)/(9, 1)-->9
(1, 1)/(10, 1)-->10
(1, 1)/(13, 1)-->13
(1, 1)/(14, 1)-->14
(1, 1)/(15, 1)-->15
(1, 1)/(16, 1)-->16
(1, 1)/(1, 2)-->6
(1, 1)/(2, 2)-->7
(1, 1)/(3, 2)-->8
(1, 1)/(4, 2)-->9
(1, 1)/(7, 2)-->10
(1, 1)/(8, 2)-->11
(1, 1)/(9, 2)-->12
(1, 1)/(10, 2)-->13
(1, 1)/(13, 2)-->16
(1, 1)/(14, 2)-->17
(1, 1)/(15, 2)-->18
(1, 1)/(16, 2)-->19
(1, 1)/(1, 5)-->7
(1, 1)/(2, 5)-->8
(1, 1)/(3, 5)-->9
(1, 1)/(4, 5)-->10
(1, 1)/(7, 5)-->11
(1, 1)/(8, 5)-->12
(1, 1)/(9, 5)-->13
(1, 1)/(10, 5)-->14
(1, 1)/(13, 5)-->17
(1, 1)/(14, 5)-->18
(1, 1)/(15, 5)-->19
(1, 1)/(16, 5)-->20
(1, 1)/(1, 6)-->10
(1, 1)/(2, 6)-->11
(1, 1)/(3, 6)-->12
(1, 1)/(4, 6)-->13
(1, 1)/(7, 6)-->14
(1, 1)/(8, 6)-->15
(1, 1)/(9, 6)-->16
(1, 1)/(10, 6)-->17
(1, 1)/(13, 6)-->20
(1, 1)/(14, 6)-->21
(1, 1)/(15, 6)-->22
(1, 1)/(16, 6)-->23
(1, 1)/(1, 9)-->11
(1, 1)/(2, 9)-->12
(1, 1)/(3, 9)-->13
(1, 1)/(4, 9)-->14
(1, 1)/(7, 9)-->15
(1, 1)/(8, 9)-->16
(1, 1)/(9, 9)-->17
(1, 1)/(10, 9)-->18
(1, 1)/(13, 9)-->21
(1, 1)/(14, 9)-->22
(1, 1)/(15, 9)-->23
(1, 1)/(16, 9)-->24
(1, 1)/(1, 10)-->14
(1, 1)/(2, 10)-->15
(1, 1)/(3, 10)-->16
(1, 1)/(4, 10)-->17
(1, 1)/(7, 10)-->18
(1, 1)/(8, 10)-->19
(1, 1)/(9, 10)-->20
(1, 1)/(10, 10)-->21
(1, 1)/(13, 10)-->24
(1, 1)/(14, 10)-->25
(1, 1)/(15, 10)-->26
(2, 1)/(3, 1)-->2
(2, 1)/(4, 1)-->3
(2, 1)/(7, 1)-->6
(2, 1)/(8, 1)-->7
(2, 1)/(9, 1)-->8
(2, 1)/(10, 1)-->9
(2, 1)/(13, 1)-->12
(2, 1)/(14, 1)-->13
(2, 1)/(15, 1)-->14
(2, 1)/(16, 1)-->15
(2, 1)/(1, 2)-->7
(2, 1)/(2, 2)-->8
(2, 1)/(3, 2)-->9
(2, 1)/(4, 2)-->8
(2, 1)/(7, 2)-->9
(2, 1)/(8, 2)-->10
(2, 1)/(9, 2)-->11
(2, 1)/(10, 2)-->12
(2, 1)/(13, 2)-->15
(2, 1)/(14, 2)-->16
(2, 1)/(15, 2)-->17
(2, 1)/(16, 2)-->18
(2, 1)/(1, 5)-->8
(2, 1)/(2, 5)-->9
(2, 1)/(3, 5)-->10
(2, 1)/(4, 5)-->9
(2, 1)/(7, 5)-->10
(2, 1)/(8, 5)-->11
(2, 1)/(9, 5)-->12
(2, 1)/(10, 5)-->13
(2, 1)/(13, 5)-->16
(2, 1)/(14, 5)-->17
(2, 1)/(15, 5)-->18
(2, 1)/(16, 5)-->19
(2, 1)/(1, 6)-->11
(2, 1)/(2, 6)-->12
(2, 1)/(3, 6)-->13
(2, 1)/(4, 6)-->12
(2, 1)/(7, 6)-->13
(2, 1)/(8, 6)-->14
(2, 1)/(9, 6)-->15
(2, 1)/(10, 6)-->16
(2, 1)/(13, 6)-->19
(2, 1)/(14, 6)-->20
(2, 1)/(15, 6)-->21
(2, 1)/(16, 6)-->22
(2, 1)/(1, 9)-->12
(2, 1)/(2, 9)-->13
(2, 1)/(3, 9)-->14
(2, 1)/(4, 9)-->13
(2, 1)/(7, 9)-->14
(2, 1)/(8, 9)-->15
(2, 1)/(9, 9)-->16
(2, 1)/(10, 9)-->17
(2, 1)/(13, 9)-->20
(2, 1)/(14, 9)-->21
(2, 1)/(15, 9)-->22
(2, 1)/(16, 9)-->23
(2, 1)/(1, 10)-->15
(2, 1)/(2, 10)-->16
(2, 1)/(3, 10)-->17
(2, 1)/(4, 10)-->16
(2, 1)/(7, 10)-->17
(2, 1)/(8, 10)-->18
(2, 1)/(9, 10)-->19
(2, 1)/(10, 10)-->20
(2, 1)/(13, 10)-->23
(2, 1)/(14, 10)-->24
(2, 1)/(15, 10)-->25
(3, 1)/(4, 1)-->2
(3, 1)/(7, 1)-->5
(3, 1)/(8, 1)-->6
(3, 1)/(9, 1)-->7
(3, 1)/(10, 1)-->8
(3, 1)/(13, 1)-->11
(3, 1)/(14, 1)-->12
(3, 1)/(15, 1)-->13
(3, 1)/(16, 1)-->14
(3, 1)/(1, 2)-->8
(3, 1)/(2, 2)-->9
(3, 1)/(3, 2)-->8
(3, 1)/(4, 2)-->7
(3, 1)/(7, 2)-->8
(3, 1)/(8, 2)-->9
(3, 1)/(9, 2)-->10
(3, 1)/(10, 2)-->11
(3, 1)/(13, 2)-->14
(3, 1)/(14, 2)-->15
(3, 1)/(15, 2)-->16
(3, 1)/(16, 2)-->17
(3, 1)/(1, 5)-->9
(3, 1)/(2, 5)-->10
(3, 1)/(3, 5)-->9
(3, 1)/(4, 5)-->8
(3, 1)/(7, 5)-->9
